Prepocessed_Text,True Label,Predicted Label,text_x,polarity,text_y
"I just come across this idiom in some open - source Python , and I choke on my drink . rather than : or even : the code read : I can see this be the same result , but be this a typical idiom in Python ? if so , be it some performance hack that run fast ? or be it just a once - off that need a code review ?",negative,neutral,"I just come across this idiom in some open - source Python , and I choke on my drink . rather than : or even : the code read : I can see this be the same result , but be this a typical idiom in Python ? if so , be it some performance hack that run fast ? or be it just a once - off that need a code review ?",negative,"I just came across this idiom in some open-source Python, and I choked on my drink. Rather than: or even: the code read: I can see this is the same result, but is this a typical idiom in Python? If so, is it some performance hack that runs fast? Or is it just a once-off that needs a code review?"
"I have see this bug in resharper 4.1 . it happen when the base class be in the App_Code directory . do not know how to fix it , very annoying , code still compile though .",negative,neutral,"I have see this bug in resharper 4.1 . it happen when the base class be in the App_Code directory . do not know how to fix it , very annoying , code still compile though .",negative,"I've seen this bug in resharper 4.1. It happens when the base class is in the App_Code directory. Don't know how to fix it, very annoying, code still compiles though."
"this be annoyingly annoying ... if you have a the need to export your RegexBuddy history you can take a look at , which print to the console your history , also as Json .",negative,neutral,"this be annoyingly annoying ... if you have a the need to export your RegexBuddy history you can take a look at , which print to the console your history , also as Json .",negative,"This was annoyingly annoying... If you have a the need to export your RegexBuddy history you can take a look at , which prints to the console your history, also as Json."
"hate to say it , but how about just test it ?",negative,neutral,"hate to say it , but how about just test it ?",negative,"Hate to say it, but how about just testing it?"
( lack of line break in comment be sadden ! ),negative,positive,( lack of line break in comment be sadden ! ),negative,(lack of line breaks in comments is saddening!)
"HXT , a library which be use for parse XML , be a very good example for the usage of arrow ( have a look how often the word occur in the module name of this package ! ) . you shall have a look on the great tutorial : < link > it be also good to have the arrow concept for function . for example the follow code just work , because be an instance of the arrow class ( the operator be define in Control . arrow).thank to the arrow syntax you have also a great tool to write complex computation in Haskell ( it work as well for function , monad and XML filter in HXT ) .",neutral,positive,"HXT , a library which be use for parse XML , be a very good example for the usage of arrow ( have a look how often the word occur in the module name of this package ! ) . you shall have a look on the great tutorial : < link > it be also good to have the arrow concept for function . for example the follow code just work , because be an instance of the arrow class ( the operator be define in Control . arrow).thank to the arrow syntax you have also a great tool to write complex computation in Haskell ( it work as well for function , monad and XML filter in HXT ) .",neutral,"HXT, a library which is used for parsing XML, is a very good example for the usage of arrows (have a look how often the word occurs in the module names of this package!). You shall have a look on the great tutorial: http://adit.io/posts/2012-04-14-working_with_HTML_in_haskell.htmlBut it is also good to have the arrow concept for functions. For example the following code just works, because is an instance of the arrow class (The operator is defined in Control.Arrow).Thanks to the arrow syntax you have also a great tool to write complex computations in Haskell (it works as well for functions, monads and XML filters in HXT)."
"logically , each "" master "" entity should be in its own table if you do not , you will find join will become very painful , and your generic lookup table will accumulate all kind of useless field",neutral,negative,"logically , each "" master "" entity should be in its own table if you do not , you will find join will become very painful , and your generic lookup table will accumulate all kind of useless field",neutral,"logically, each ""master"" entity should be in its own table if you don't, you'll find joins will become very painful, and your generic lookup table will accumulate all kinds of useless fields"
I would say spike should be part of the iteration plan . not just in time . they should be account for the story they belong to . even reading of part of the manual should be estimate . and now for the hard part : do not be afraid to give high estimate . Realistic be ALWAYS well than too low . ;),positive,negative,I would say spike should be part of the iteration plan . not just in time . they should be account for the story they belong to . even reading of part of the manual should be estimate . and now for the hard part : do not be afraid to give high estimate . Realistic be ALWAYS well than too low . ;),positive,I'd say spike should be part of the iteration plan. not just in time. They should be accounted for the story they belong to. Even reading of parts of the manual should be estimated. And now for the hard part: don't be afraid to give high estimates. Realistic is ALWAYS better than too low. ;)
"for instance , will I be able to create an application that allow user to create and modify exist type at runtime ? will I be able to persist instance of those type in SQL without have to worry about the user who add 100,000 record and expect a ( really ) fast query on they ? think SharePoint Content Types ... but on steroid . Oslo steroids - possible or not ?",negative,neutral,"for instance , will I be able to create an application that allow user to create and modify exist type at runtime ? will I be able to persist instance of those type in SQL without have to worry about the user who add 100,000 record and expect a ( really ) fast query on they ? think SharePoint Content Types ... but on steroid . Oslo steroids - possible or not ?",negative,"For instance, will I be able to create an application that allows users to create and modify existing types at runtime? Will I be able to persist instances of those types in SQL without having to worry about the user who adds 100,000 records and expects a (really) fast query on them? Think SharePoint Content Types... but on steroids. Oslo steroids - Possible or not?"
"from Joel Spolsky the Absolute Minimum every Software Developer absolutely , positively must know about Unicode and Character Sets ( No Excuses ! )",neutral,positive,"from Joel Spolsky the Absolute Minimum every Software Developer absolutely , positively must know about Unicode and Character Sets ( No Excuses ! )",neutral,"From Joel Spolsky The Absolute Minimum Every Software Developer Absolutely, Positively Must Know About Unicode and Character Sets (No Excuses!)"
