,id,polarity,text
0,t1,negative,"vineet, tri terribl idea! if ever find engin someth fundament that, take step back work els it! i realli believ whole spoon fed so thing, mtwebster say right track!"
1,t2,positive,"cours i do, corrected."
2,t3,positive,"excellent, happi help! if mind, accept answer?"
3,t6,negative,"<@user> i'm use dozen time class. it heavi write, easi read pain debug. i'm sorry, i think question subjective, mayb someon move programmers!?"
4,t7,neutral,i select answer even though two help neither complete.
5,t10,neutral,this tomcat 5.5
6,t11,neutral,"paraphras cypher, ""stateof.confus bliss"", so... do `mapcollect items` state? if singl `itemstatus` everi `item` references. [`application.properties`](<link> may way global communic visualness."
7,t12,positive,excellent! thank persever :)
8,t14,positive,"wow, i'v look corona sdk. it look excellent! a realli intuit way build apps. thank tip!"
9,t15,neutral,a seem proprietary.
10,t17,negative,"to push heroku, add repo. whi want commit it? it recommend commit gemfile.lock repo (unless develop gem): when develop app, check gemfile.lock, sinc use bundler tool across machines, precis enforc bundler extrem desir applications."
11,t19,positive,<@user>rn ravn andersen that realli great!
12,t20,neutral,"i'm sure case realli worri gc case like better control behavior deriv map thus influenc perform gc opinion take look usag differ kind refer (strong, weak, soft, phantom) java.also rememb pre-optim root evil especi programming."
13,t21,negative,"i see possible, i really, realli hate run queri extra time get record count i build pager. when i say ""pager"" i simpli mean common gizmo link 10 record example."
14,t23,neutral,have ad answer
15,t24,negative,"yes, tricky, sinc datetim pars sql pain neck."
16,t25,negative,"<@user>: me, matter advis provid alternatives. i happi user qthttp thus far without worries, yes, quick workaround written."
17,t26,negative,"<@user> i'm sorri hear that... mayb get touch develop baronreplay ask help out? if not, i'm afraid i cannot help much more! regards, rodit"
18,t27,neutral,this question would appropri superuser.
19,t28,negative,"after look answer below, i sad exampl backward progress ssrs."
20,t29,negative,"i instal delphi 2009 updat 4 yesterday (veri pain process now, how i make sure proper updated? what build number shown ide box?"
21,t30,negative,"i'm sorri horribl english! exampl i use radio button, i'm consid use textbox"
22,t31,neutral,"i assum use ken reitz excel request librari http request (if not, realli be!)most likely, problem request add content-typ header multi-part uploads, packmgr read multi-part bodi content-typ header. so, normal request post multipart-encod file would go someth like this: instead use longer form, set explicit content-type: note one side-effect way cannot stream file entir packag zip file read memory."
23,t32,negative,"not me, i suggest possibl :it may caus problem editing--> this solv use comments--> and caus code messier some code may crash code success go away |.|--> no solut unless know code! code upgrad problem-- if extern code upgrad may problem know code--> again use comments--> and messier so i think about!edit---som cons:you make conveni edit--> you edit one code onceyou edit code wan't abl edit (extern resourc before)--> modifi convenient.you make load faster--> 1 file 1000 kb faster 1000 file 1 kb each.it safer--> you need worri extern resourc deleted!!thes suggestions. tri think it!"
24,t33,negative,"i finish site, silli bug remain... check tu horizont posit whole page slight shift... noth cri whi 2 page idea, horizont css is: dont like page cha-cha-cha"
25,t35,neutral,so i would keep list axe i delet content one i would swap full one. i think exampl solv problem (or least give idea solv it): the extrem ugli loop construct realli placehold give exampl axe swapped.
26,t37,negative,"lastly, i see style data. doe project css defin somewhere?"
27,t38,negative,"i'm tri makefil fail horribly: know why? i guess escaping, where?"
28,t39,positive,"here secret. in chrome dev tools, cpu profil run. after stop capturing, bottom screen triangl next ""heavi (bottom up)"". click triangl select ""flame chart"". onc flame chart mode, zoom pan see digest cycles, long take, exact function called. the flame chart incred use track page load issues, ng-repeat perform problems, digest cycl problems! i realli know i abl debug profil flame chart. here example:"
29,t40,negative,"and ""line upon line errors"" say? (sheesh! get inform pain pull teeth!!)"
30,t41,neutral,"the function signatur pthread_creat requir function return also, return treat opaquely. both chang reflect compil machine: update: there issu program well. for example, like main exit thread runs. you join thread want make sure exit first. use raw pthread great way learn thread pain compar pre-exist framework tri boost::thread std::thread want get run littl hassl possible."
31,t42,positive,excellent! thank info.
32,t43,negative,"facial recognition, auto submit usernam password browser, front pc. noth malici bout ?!?"
33,t48,negative,"here php code.. ..i'm extrem crappi javascript code, could someon help convert this? i basic want convert variabl ""marine-heavy"" ""marin (heavy)""."
34,t49,neutral,"no, output same; one unicod value, undecod byte value.for ascii, look same, load web page use charact outsid ascii characterset, differ much clearer.tak utf-8 encod data, example: that simpl u+2013 en dash character. the byte represent show 3 byte utf-8 use encod codepoint.you realli want read unicod vs. encod data here, i recommend:th absolut minimum everi softwar develop absolutely, posit must know about unicod charact set (no excuses!) joel spolskyth python unicod howtopragmat unicod ned batcheld"
35,t50,positive,"wow, great! thanks, i know one existed."
36,t51,negative,"suppos i interfac and class is way, tool let automat put comment member base class interface? becaus i hate re-writ comment deriv sub-class!"
37,t52,negative,"i ask pixel-pushing, manag get far enough get nois show screen. here i init: here i render frame: problem aw aw slow, around 5fps. i think path publish buffer must wrong. is even possibl full-screen pixel-bas graphic i could updat 30fps, without use 3d chip?"
38,t53,positive,"paradise, submit separ respons i'll make winner!"
39,t54,negative,"now i load device, imag show up. this kind horrible!"
40,t55,negative,it pain add multipl ticket trac todo list. that caus peopl use task manag tool task spread around. is plugin macro would quicken process ad ticket?
41,t57,positive,excellent! look forward hear you.
42,t59,neutral,"okay, i see confus edit respons sampl code/an appropri link wikipedia. you confus entropi model probabl distribut cross entropi (or likelihood) predict make real data. consid model assign probabl 1 event probabl 0 everyth else. it 0 entropy, make absolut terribl predict test distribut pure non-random sequence, assign 0 probabl event actual happen."
43,t60,negative,was afraid someon would say that...! is hack i could put place?
44,t61,positive,"excel questions! this particular project need ds, wayf, etc."
45,t65,negative,that realli bad. gwt look extrem ugli ie8 default!
46,t66,positive,excel point! :)
47,t69,neutral,"when tri it, get error: this come (line 3023 sources, vari version), the comment explain that: this routin call statement must run insid transact block, typic non-rollback- side effect intern commits.for call case unfortun inform comment say specif safe run transaction.look sources, i see one thing forc checkpoint.overall, though, i see anyth realli scream ""we can't transactionally"". it ""we implement function transactionally""."
48,t71,neutral,"<@user>, i process revis answer, see alreadi answer it."
49,t72,positive,"let imagin someth like this: later i someth like this: is way i set limit use name query, defin it? i'd would realli love someth like: thx advance! :-)"
50,t73,neutral,this probabl done use javascript.
51,t74,neutral,"if i understand question correctly, except variabl found insid function. i'd suggest learn scope rule python read excel to-the-point chapter topic (or search topic web!).th thing i'd recommend handl except shown snippet. here why.th fix code could look someth like this:"
52,t75,neutral,you'll need creat call refresh function place alert() .get() call. that function success post-back.
53,t77,positive,"as i comment question, problem insid code better use readi function/class :) search ..how ever i give easi way display want..replac for loop code fine :) but realli !!! 1st mysql_ function deprec use mysqli pdo instead.. 2nd escap variabl queries.. 3rd think use flexibl method work (function/object ..)"
54,t78,neutral,you download local copi jqueri use cdn. this link details: <link>
55,t79,neutral,i think speak volum ie keycod arrow key form angri sad face: (work better comment text entri font)
56,t80,neutral,"i'm use apach implementation, name <link>"
57,t81,negative,"okay, <example> and desir <example> i know, horrif (don't ask!) see slash key indic children, order nest accordingly? and item without order simpli shift bottom. but also multipl same level item order mere sort key?"
58,t82,neutral,"i need page includ sitemap i'm save context three previous pages. that way user click previous page sitemap, load data i store (i.e. load data previous search)."
59,t85,positive,"there anoth way... as wpf applic code .net framework, compil msil (microsoft intermedi language). this mean use decompil ilspi decompil view code baronreplays. this give idea baronreplay work implement idea code project...hop helped!rodit"
60,t86,positive,"would happen anoth column tabl group ""1 2 3 4"" ""1 2 3 4"", etc?it would look someth like this:1st column second columna 1b 1c 1d 1a 2b 2c 2d 2if order 2nd column, return 1 1 1 1 2 2 2 2. but sinc anoth column, order 1st column, 2nd column, 1 2 1 2 1 2 1 2.this ia ofcours assum field like 1st column. but given look order like 1 2 3 4 1 2 3 4, must someth field help achiev hope helps!"
61,t87,positive,you would need creat counter integ variabl keep track line index you. hope helps!
62,t88,neutral,"yes, question."
63,t89,negative,"everytim i execut app debug mode, execut break insid class file extern librari i'm using. even though nullpointerexception, reason i hit resum continu execution. in case curious, i'v put stacktrac below. my problem though i simpli want stop that. it extrem annoy happen everi execution. but i can't find set anywher prevent break insid class files. how i avoid this?"
64,t92,negative,"i cannot seem figur phpunit target output test result even though i test position. the problem i find indic problem is! incred frustrating. the output follows: my build.xml follows: my system: vista, php 5.2.9, phpunit 3.4, phpundercontrol, cruisecontrol"
65,t93,positive,excel alternative!
66,t94,negative,i control dataset i recieve. the thing i know contain everything.
67,t96,neutral,"is test case exhibit behavior jsfiddle? i tri firefox, chrome safari see shrink talk about, although chrome safari forc left-margin indent dragging. (???) &#xa;&#xa;"
68,t98,positive,you'r welcom it would nice though upvot accept answer. this way user could refer pass troubl =p
69,t99,positive,"<@user>, correct! transpos writing."
70,t100,negative,is valid i'm realli worri specifi type also use def time?
71,t101,negative,i'm afraid cannot fetch that!th graph api provid api so.
72,t102,negative,"i store rang mysql db, lot queri mysql get provid name terribl :("
